"PAGE TITLE","PAGE URL","LINK TEXT","LINK URL","TARGET TITLE"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Increase after Surgery or Cast","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Increase for Time in Hospital","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Time Spent in a Hospital: VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Prestabilization Ratings","/disability/eligibility/special-claims/temporary-rating-prestabilization","Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Title 38 U.S.C. 1151 Claims","/disability/eligibility/special-claims/1151-claims-title-38","Title 38 U.S.C. 1151 Claims: VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Unemployability","/disability/eligibility/special-claims/unemployability","Being Unable to Work (Individual Unemployability): VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Automobile Allowance and Adaptive Equipment

                If your service-connected disability prevents you from driving, find out if you can get money to help buy a specially equipped vehicle or make needed changes to your existing vehicle.","/disability/eligibility/special-claims/automobile-allowance-adaptive-equipment/","Auto Allowance and Adaptive Equipment: VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Replacing Damaged Clothing

                If your clothing’s been damaged by your prosthetic or orthopedic device—or by medicine you’re taking for a skin condition—find out if you can get money to help buy new clothes.","/disability/eligibility/special-claims/clothing-allowance/","Replacing Damaged Clothing: VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Recovery from Surgery or an Immobilizing Disability (Convalescence)

                If you’re recovering from surgery or other treatment that’s left you unable to move, find out if you can get temporary disability payments or other benefits.","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast/","Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Dental Care

                If you’re a Veteran, find out if you can get dental care through VA.","/disability/eligibility/special-claims/dental-care/","Dental Care: VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Time Spent in a Hospital

                If you spent time in a VA or VA-approved hospital for a service-connected disability, find out if you can get benefits like disability payments for that time.","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital/","Time Spent in a Hospital: VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Being Unable to Work (Individual Unemployability)

                If you can’t work because of your service-connected disability, find out if you can get increased disability payments.","/disability/eligibility/special-claims/unemployability/","Being Unable to Work (Individual Unemployability): VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Title 38 U.S.C. 1151 Disabilities

                If you suffered an added disability while getting VA medical care or taking part in a VA program designed to help you find, get, or keep a job, find out if you can get disability payments.","/disability/eligibility/special-claims/1151-claims-title-38/","Title 38 U.S.C. 1151 Claims: VA.gov"
"Special Claims: VA.gov","/disability/eligibility/special-claims","Immediate Help for Temporary Disability Needs (Prestabilization)

                If you recently ended your active military service and you have a service-connected disability, find out if you can get temporary disability payments or other benefits right away.","/disability/eligibility/special-claims/temporary-rating-prestabilization/","Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Skip to Content","#content","Skip to Content"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","update your browser","https://whatbrowser.org/","External Link"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","/img/header-logo.png","/","VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Home","/","VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Disability","/disability","VA Disability Compensation: VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Eligibility","/disability/eligibility","Disability Benefits Eligibility: VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Special Claims","/disability/eligibility/special-claims","Special Claims: VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Increase after Surgery or Cast","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Special Claims","/disability/eligibility/special-claims","Special Claims: VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Auto Allowance and Adaptive Equipment","/disability/eligibility/special-claims/automobile-allowance-adaptive-equipment","Auto Allowance and Adaptive Equipment: VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Birth Defects","/disability/eligibility/special-claims/birth-defects","Birth Defects (Spina Bifida): VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Clothing Allowance","/disability/eligibility/special-claims/clothing-allowance","Replacing Damaged Clothing: VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Dental Care","/disability/eligibility/special-claims/dental-care","Dental Care: VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Increase after Surgery or Cast","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Increase for Time in Hospital","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Time Spent in a Hospital: VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Prestabilization Ratings","/disability/eligibility/special-claims/temporary-rating-prestabilization","Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Title 38 U.S.C. 1151 Claims","/disability/eligibility/special-claims/1151-claims-title-38","Title 38 U.S.C. 1151 Claims: VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Unemployability","/disability/eligibility/special-claims/unemployability","Being Unable to Work (Individual Unemployability): VA.gov"
"Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Apply for benefits","/disability/how-to-file-claim/","How to Apply for Disability Benefits: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Skip to Content","#content","Skip to Content"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","update your browser","https://whatbrowser.org/","External Link"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","/img/header-logo.png","/","VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Home","/","VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Disability","/disability","VA Disability Compensation: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Eligibility","/disability/eligibility","Disability Benefits Eligibility: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Special Claims","/disability/eligibility/special-claims","Special Claims: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Increase for Time in Hospital","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Time Spent in a Hospital: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Special Claims","/disability/eligibility/special-claims","Special Claims: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Auto Allowance and Adaptive Equipment","/disability/eligibility/special-claims/automobile-allowance-adaptive-equipment","Auto Allowance and Adaptive Equipment: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Birth Defects","/disability/eligibility/special-claims/birth-defects","Birth Defects (Spina Bifida): VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Clothing Allowance","/disability/eligibility/special-claims/clothing-allowance","Replacing Damaged Clothing: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Dental Care","/disability/eligibility/special-claims/dental-care","Dental Care: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Increase after Surgery or Cast","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Increase for Time in Hospital","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Time Spent in a Hospital: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Prestabilization Ratings","/disability/eligibility/special-claims/temporary-rating-prestabilization","Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Title 38 U.S.C. 1151 Claims","/disability/eligibility/special-claims/1151-claims-title-38","Title 38 U.S.C. 1151 Claims: VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Unemployability","/disability/eligibility/special-claims/unemployability","Being Unable to Work (Individual Unemployability): VA.gov"
"Time Spent in a Hospital: VA.gov","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Apply for disability benefits","/disability/how-to-file-claim/","How to Apply for Disability Benefits: VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Skip to Content","#content","Skip to Content"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","update your browser","https://whatbrowser.org/","External Link"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","/img/header-logo.png","/","VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Home","/","VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Disability","/disability","VA Disability Compensation: VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Eligibility","/disability/eligibility","Disability Benefits Eligibility: VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Special Claims","/disability/eligibility/special-claims","Special Claims: VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Prestabilization Ratings","/disability/eligibility/special-claims/temporary-rating-prestabilization","Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Special Claims","/disability/eligibility/special-claims","Special Claims: VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Auto Allowance and Adaptive Equipment","/disability/eligibility/special-claims/automobile-allowance-adaptive-equipment","Auto Allowance and Adaptive Equipment: VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Birth Defects","/disability/eligibility/special-claims/birth-defects","Birth Defects (Spina Bifida): VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Clothing Allowance","/disability/eligibility/special-claims/clothing-allowance","Replacing Damaged Clothing: VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Dental Care","/disability/eligibility/special-claims/dental-care","Dental Care: VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Increase after Surgery or Cast","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Increase for Time in Hospital","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Time Spent in a Hospital: VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Prestabilization Ratings","/disability/eligibility/special-claims/temporary-rating-prestabilization","Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Title 38 U.S.C. 1151 Claims","/disability/eligibility/special-claims/1151-claims-title-38","Title 38 U.S.C. 1151 Claims: VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Unemployability","/disability/eligibility/special-claims/unemployability","Being Unable to Work (Individual Unemployability): VA.gov"
"Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov","/disability/eligibility/special-claims/temporary-rating-prestabilization","Apply for benefits","/disability/how-to-file-claim/","How to Apply for Disability Benefits: VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Skip to Content","#content","Skip to Content"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","update your browser","https://whatbrowser.org/","External Link"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","/img/header-logo.png","/","VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Home","/","VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Disability","/disability","VA Disability Compensation: VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Eligibility","/disability/eligibility","Disability Benefits Eligibility: VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Special Claims","/disability/eligibility/special-claims","Special Claims: VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Unemployability","/disability/eligibility/special-claims/unemployability","Being Unable to Work (Individual Unemployability): VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Special Claims","/disability/eligibility/special-claims","Special Claims: VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Auto Allowance and Adaptive Equipment","/disability/eligibility/special-claims/automobile-allowance-adaptive-equipment","Auto Allowance and Adaptive Equipment: VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Birth Defects","/disability/eligibility/special-claims/birth-defects","Birth Defects (Spina Bifida): VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Clothing Allowance","/disability/eligibility/special-claims/clothing-allowance","Replacing Damaged Clothing: VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Dental Care","/disability/eligibility/special-claims/dental-care","Dental Care: VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Increase after Surgery or Cast","/disability/eligibility/special-claims/temporary-increase-after-surgery-or-cast","Recovery from Surgery or an Immobilizing Disability (Convalescence): VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Increase for Time in Hospital","/disability/eligibility/special-claims/temporary-increase-for-time-in-hospital","Time Spent in a Hospital: VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Prestabilization Ratings","/disability/eligibility/special-claims/temporary-rating-prestabilization","Immediate Help for Temporary Disability Needs (Prestabilization): VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Title 38 U.S.C. 1151 Claims","/disability/eligibility/special-claims/1151-claims-title-38","Title 38 U.S.C. 1151 Claims: VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Unemployability","/disability/eligibility/special-claims/unemployability","Being Unable to Work (Individual Unemployability): VA.gov"
"Being Unable to Work (Individual Unemployability): VA.gov","/disability/eligibility/special-claims/unemployability","Apply for benefits","/disability/how-to-file-claim/","How to Apply for Disability Benefits: VA.gov"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Skip to Content","#content","Skip to Content"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","update your browser","https://whatbrowser.org/","External Link"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","/img/header-logo.png","/","VA.gov"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Home","/","VA.gov"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Disability","/disability","VA Disability Compensation: VA.gov"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","File an Appeal","/disability/file-an-appeal","Appeals: VA.gov"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Board of Veterans’ Appeals Hearings","/disability/file-an-appeal/board-of-veterans-appeals","Board of Veterans’ Appeals Hearings: VA.gov"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","File an Appeal","/disability/file-an-appeal","Appeals: VA.gov"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Board of Veterans’ Appeals Hearings","/disability/file-an-appeal/board-of-veterans-appeals","Board of Veterans’ Appeals Hearings: VA.gov"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Request a Priority Review","/disability/file-an-appeal/request-priority-review","Request a Priority Review: VA.gov"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Schedule your Board hearing","#scheduling","Schedule your Board hearing"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Prepare for your Board hearing","#preparing","Prepare for your Board hearing"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Find out what to expect at your Board hearing","#expect","Find out what to expect at your Board hearing"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Find out more about choosing a video hearing","https://www.bva.va.gov/docs/BVA-VideoHearing-508version.pdf","External Link"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Download VA Form 9","https://localhost/vaforms/va/pdf/va9.pdf","https://localhost/vaforms/va/pdf/va9.pdf"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Find a Veterans Service Organization","https://localhost/vso/","https://localhost/vso/"
"Board of Veterans’ Appeals Hearings: VA.gov","/disability/file-an-appeal/board-of-veterans-appeals","Get help from a representative","/disability/get-help-filing-claim/","Get Help Filing Your Claim or Appeal: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Skip to Content","#content","Skip to Content"
"Appeals: VA.gov","/disability/file-an-appeal","update your browser","https://whatbrowser.org/","External Link"
"Appeals: VA.gov","/disability/file-an-appeal","/img/header-logo.png","/","VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Home","/","VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Disability","/disability","VA Disability Compensation: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","File an Appeal","/disability/file-an-appeal","Appeals: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Eligibility","/disability/eligibility","Disability Benefits Eligibility: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","How to File a Claim","/disability/how-to-file-claim","How to Apply for Disability Benefits: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","After You File Your Claim","/disability/after-you-file-claim","After You Apply for Disability Benefits: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Survivor and Dependent Compensation (DIC)","/burials-memorials/dependency-indemnity-compensation/","Compensation for Surviving Spouse and Dependents (VA DIC): VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Check Claim or Appeal Status","/claim-or-appeal-status/","Check Your VA Claim or Appeal Status: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","File for Increased Disability","/disability/file-for-increase-form-21-526ez","Apply for increased disability benefits: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","File an Appeal","/disability/file-an-appeal","Appeals: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Board of Veterans’ Appeals Hearings","/disability/file-an-appeal/board-of-veterans-appeals","Board of Veterans’ Appeals Hearings: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Request a Priority Review","/disability/file-an-appeal/request-priority-review","Request a Priority Review: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Add or Remove a Dependent","/disability/add-remove-dependent","Adding Dependents to Your VA Disability Benefits: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Upload Evidence to Support Your Claim","/disability/upload-supporting-evidence","Upload Evidence to Support Your Claim: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","File Supplemental Forms","/disability/how-to-file-claim/supplemental-forms/","Supplemental Disability Forms: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Change Direct Deposit and Contact Info","/change-direct-deposit-and-contact-information","Change Your VA Direct Deposit and Contact Information: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Share Medical Records","/health-care/get-medical-records/","Get Your VA Medical Records Online: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Download VA Benefit Letters","/records/download-va-letters/","Download VA Benefit Letters: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","View Disability Payment History","/va-payment-history","View Your VA Payment History: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","About Disability Ratings","/disability/about-disability-ratings","How VA Assigns Disability Ratings: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Compensation Rates","http://www.benefits.va.gov/compensation/rates-index.asp","External Link"
"Appeals: VA.gov","/disability/file-an-appeal","VA Claim Exam (C&P Exam)","/disability/va-claim-exam","VA Claim Exam (C&P Exam): VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Get Help Filing a Claim","/disability/get-help-filing-claim","Get Help Filing Your Claim or Appeal: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","DBQ Forms","https://www.benefits.va.gov/compensation/dbq_disabilityexams.asp","External Link"
"Appeals: VA.gov","/disability/file-an-appeal","Track Your Appeal","/track-claims","Track Claims: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Get help filing your appeal","/disability/get-help-filing-claim/","Get Help Filing Your Claim or Appeal: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Download a Notice of Disagreement (VA Form 21-0958)","https://www.vba.va.gov/pubs/forms/VBA-21-0958-ARE.pdf","External Link"
"Appeals: VA.gov","/disability/file-an-appeal","Get help filing your appeal","/disability/get-help-filing-claim/","Get Help Filing Your Claim or Appeal: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Learn how to request Advanced on Docket status","/disability/file-an-appeal/request-priority-review/","Request a Priority Review: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Learn more about hearings at the Board","/disability/file-an-appeal/board-of-veterans-appeals/","Board of Veterans’ Appeals Hearings: VA.gov"
"Appeals: VA.gov","/disability/file-an-appeal","Learn how to file a Court appeal","https://www.uscourts.cavc.gov/appeal.php","External Link"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","Skip to Content","#content","Skip to Content"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","update your browser","https://whatbrowser.org/","External Link"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","/img/header-logo.png","/","VA.gov"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","Home","/","VA.gov"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","Disability","/disability","VA Disability Compensation: VA.gov"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","File an Appeal","/disability/file-an-appeal","Appeals: VA.gov"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","Request a Priority Review","/disability/file-an-appeal/request-priority-review","Request a Priority Review: VA.gov"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","File an Appeal","/disability/file-an-appeal","Appeals: VA.gov"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","Board of Veterans’ Appeals Hearings","/disability/file-an-appeal/board-of-veterans-appeals","Board of Veterans’ Appeals Hearings: VA.gov"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","Request a Priority Review","/disability/file-an-appeal/request-priority-review","Request a Priority Review: VA.gov"
"Request a Priority Review: VA.gov","/disability/file-an-appeal/request-priority-review","1-202-495-6803","tel:+12024956803","1-202-495-6803"
"Apply for increased disability benefits: VA.gov","/disability/file-for-increase-form-21-526ez","Skip to Content","#content","Skip to Content"
"Apply for increased disability benefits: VA.gov","/disability/file-for-increase-form-21-526ez","update your browser","https://whatbrowser.org/","External Link"
"Apply for increased disability benefits: VA.gov","/disability/file-for-increase-form-21-526ez","/img/header-logo.png","/","VA.gov"
"Apply for increased disability benefits: VA.gov","/disability/file-for-increase-form-21-526ez","Home","/","VA.gov"
"Apply for increased disability benefits: VA.gov","/disability/file-for-increase-form-21-526ez","Disability Benefits","/disability/","VA Disability Compensation: VA.gov"
